[2018-12-23 14:55:34] [ERROR] http://dblp.uni-trier.de/db/journals/re/ Exc..., try again after 10s
[2018-12-23 14:55:34] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:56:38] [ERROR] http://dblp.uni-trier.de/db/journals/scp/ Exc..., try again after 10s
[2018-12-23 14:56:38] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:57:21] [ERROR] http://dblp.uni-trier.de/db/journals/scp/ Exc..., try again after 10s
[2018-12-23 14:57:21] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Max retries exceeded with url: /db/journals/scp/ (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.VerifiedHTTPSConnection object at 0x0000019FCBBACCF8>, 'Connection to dblp.uni-trier.de timed out. (connect timeout=20)'))
[2018-12-23 14:57:57] [ERROR] https://dblp.uni-trier.de/db/journals/scp/scp170.html Exc..., try again after 10s
[2018-12-23 14:57:57] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 14:58:48] [ERROR] https://dblp.uni-trier.de/db/journals/scp/scp160.html Exc..., try again after 10s
[2018-12-23 14:58:48] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:00:10] [ERROR] https://dblp.uni-trier.de/db/journals/scp/scp163.html Exc..., try again after 10s
[2018-12-23 15:00:10] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:00:41] [ERROR] https://dblp.uni-trier.de/db/journals/scp/scp163.html Exc..., try again after 10s
[2018-12-23 15:00:41] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:01:51] [ERROR] https://dblp.uni-trier.de/db/journals/scp/scp147.html Exc..., try again after 10s
[2018-12-23 15:01:51] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:02:27] [ERROR] https://dblp.uni-trier.de/db/journals/scp/scp147.html Exc..., try again after 10s
[2018-12-23 15:02:27] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:03:16] [ERROR] https://dblp.uni-trier.de/db/journals/sosym/sosym16.html Exc..., try again after 10s
[2018-12-23 15:03:16] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:03:57] [ERROR] https://dblp.uni-trier.de/db/journals/sosym/sosym16.html Exc..., try again after 10s
[2018-12-23 15:03:57] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:04:57] [ERROR] https://dblp.uni-trier.de/db/journals/spe/spe48.html Exc..., try again after 10s
[2018-12-23 15:04:57] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:06:20] [ERROR] https://dblp.uni-trier.de/db/journals/tomccap/tomccap14.html Exc..., try again after 10s
[2018-12-23 15:06:20] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:07:08] [ERROR] https://dblp.uni-trier.de/db/journals/tomccap/tomccap14.html Exc..., try again after 10s
[2018-12-23 15:07:08] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:08:26] [ERROR] http://dblp.uni-trier.de/db/journals/tosn/ Exc..., try again after 10s
[2018-12-23 15:08:26] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:09:08] [ERROR] https://dblp.uni-trier.de/db/journals/tosn/tosn13.html Exc..., try again after 10s
[2018-12-23 15:09:08] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:10:01] [ERROR] https://dblp.uni-trier.de/db/journals/tosn/tosn13.html Exc..., try again after 10s
[2018-12-23 15:10:01] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:11:21] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn139.html Exc..., try again after 10s
[2018-12-23 15:11:21] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:11:51] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn139.html Exc..., try again after 10s
[2018-12-23 15:11:51] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Max retries exceeded with url: /db/journals/cn/cn139.html (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.VerifiedHTTPSConnection object at 0x0000019FCB9FB198>, 'Connection to dblp.uni-trier.de timed out. (connect timeout=20)'))
[2018-12-23 15:12:25] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn139.html Exc..., try again after 10s
[2018-12-23 15:12:25] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:13:41] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn141.html Exc..., try again after 10s
[2018-12-23 15:13:41] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:14:22] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn143.html Exc..., try again after 10s
[2018-12-23 15:14:22] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:15:14] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn143.html Exc..., try again after 10s
[2018-12-23 15:15:14] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:16:34] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn117.html Exc..., try again after 10s
[2018-12-23 15:16:34] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:17:06] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn117.html Exc..., try again after 10s
[2018-12-23 15:17:06] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:17:53] [ERROR] https://dblp.uni-trier.de/db/journals/cn/cn119.html Exc..., try again after 10s
[2018-12-23 15:17:53] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:19:38] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc69.html Exc..., try again after 10s
[2018-12-23 15:19:38] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:20:31] [ERROR] https://dblp.uni-trier.de/db/journals/adhoc/adhoc69.html Exc..., try again after 10s
[2018-12-23 15:20:31] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
